1.	Что следует делать при обнаружении утечки топлива на территории АЗС?
A.	Немедленно изолировать участок и уведомить службу безопасности.
B.	Продолжить работу, надеясь, что утечка сама остановится.
C.	Попросить оператора-кассира устранить утечку.
D.	Оставить знак "Осторожно, скользко" рядом с утечкой.
2.	Какая процедура следует при подозрении на газовую утечку?
A.	Эвакуировать всех с территории АЗС и уведомить службу безопасности.
B.	Открыть все окна и двери для проветривания.
C.	Продолжать работу, но проследить, чтобы не было искр.
D.	Использовать спрей для нейтрализации запаха.
3.	Какой протокол действий следует при пожаре на АЗС?
A.	Немедленно начать эвакуацию, прервать подачу топлива и вызвать пожарную команду.
B.	Попытаться потушить пожар собственными силами.
C.	Закрыть АЗС и ждать приезда специалистов.
D.	Сделать фотографию для документации.
4.	Как следует обращаться с химическими веществами, используемыми на АЗС?
A.	Соблюдать инструкции по безопасности, хранить в надлежащем месте, недоступном для посторонних.
B.	Хранить в любом удобном месте.
C.	Использовать без перчаток и защитных очков.
D.	Переливать в другие контейнеры без маркировки.
5.	Что следует делать, если сотрудник получил травму во время работы?
A.	Обеспечить первую помощь и уведомить вышестоящее руководство о инциденте.
B.	Попросить его продолжить работу, если рана несерьезная.
C.	Оставить решение сотруднику: идти домой или остаться.
D.	Записать инцидент только в случае, если сотрудник просит об этом.
6.	Какую одежду должен носить сотрудник на АЗС для своей безопасности?
A.	Защитную униформу, утвержденную компанией, и закрытую обувь.
B.	Любую удобную одежду, которую он предпочитает.
C.	Одежду с яркими узорами, чтобы быть замеченным.
D.	Случайную одежду, но с нашивкой компании.
7.	Какой протокол следует, если клиент въезжает на территорию АЗС с открытым пламенем (например, зажженной сигаретой)?
A.	Немедленно попросить его потушить огонь и предупредить о правилах безопасности на АЗС.
B.	Игнорировать, если он далеко от топливных колонок.
C.	Предложить ему зажигалку.
D.	Сделать фотографию нарушения.
8.	Какое оборудование следует проверять ежедневно на предмет безопасности?
A.	Топливные колонки, системы аварийного отключения и противопожарное оборудование.
B.	Только те колонки, которые активно используются.
C.	Только противопожарное оборудование.
D.	Оборудование в кассовой зоне.
9.	Что следует делать при обнаружении неисправного оборудования на АЗС?
A.	Немедленно отключить его, обозначить зону и уведомить службу обслуживания.
B.	Продолжать использовать до следующего планового обслуживания.
C.	Уведомить только менеджера.
D.	Просто избегать использования этого оборудования.

10.	В каких случаях необходимо применять средства индивидуальной защиты (СИЗ)?
A.	При работе с химическими веществами, проведении ремонтных работ и в других потенциально опасных ситуациях.
B.	Только когда это указано в инструкции.
C.	По личному усмотрению сотрудника.
D.	Только когда это видно клиентам.
11.	Что следует делать, если пролито большое количество топлива на АЗС?
A.	Использовать поглотительные материалы, предотвратить распространение и уведомить руководство.
B.	Попросить клиентов избегать этой зоны.
C.	Подождать, пока топливо испарится.
D.	Использовать воду для промывки места разлива.
12.	В каком случае сотруднику АЗС может понадобиться использовать дыхательный аппарат?
A.	При работе в условиях высокой концентрации опасных паров или газов.
B.	При выполнении любых ремонтных работ.
C.	При работе на кассе.
D.	При обслуживании автомобилей.
